ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-27 15:00:00,1455,16,58,1866,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-23 18:00:00,855,19,54,1895,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 18:00:00,704,19,52,1491,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-30 08:00:00,813,9,33,2303,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 13:00:00,1611,14,33,2097,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 12:00:00,1168,13,33,1899,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 15:00:00,1616,16,33,1816,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 08:00:00,602,9,33,1684,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 14:00:00,1647,15,32,1949,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 13:00:00,1303,14,32,1907,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-07 17:00:00,706,18,32,1788,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 08:00:00,802,9,32,1548,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 17:00:00,1077,18,32,1462,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 18:00:00,743,19,31,2061,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 12:00:00,1288,13,31,1923,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 18:00:00,591,19,31,1913,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 16:00:00,1466,17,31,1819,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 17:00:00,992,18,31,1812,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 14:00:00,1062,15,31,1679,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-02 18:00:00,723,19,31,1635,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 16:00:00,679,17,28,2022,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,460,8,28,1745,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 08:00:00,808,9,28,1713,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-01 19:00:00,595,20,28,1189,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-31 19:00:00,706,20,28,272,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 17:00:00,970,18,27,2083,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-05 16:00:00,1101,17,27,2044,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 11:00:00,995,12,27,1920,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 10:00:00,1144,11,27,1645,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-02 19:00:00,866,20,27,1423,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-15 22:00:00,322,23,27,447,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 13:00:00,1245,14,45,1857,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 18:00:00,894,19,44,1726,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,801,20,43,1343,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 11:00:00,1753,12,26,2010,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-13 10:00:00,674,11,26,1913,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 13:00:00,1131,14,26,1694,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,541,10,26,1627,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-08 15:00:00,956,16,26,1580,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 16:00:00,968,17,26,1538,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 09:00:00,228,10,26,1376,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 12:00:00,2418,13,25,2155,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-28 17:00:00,826,18,25,1857,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-29 17:00:00,757,18,25,1720,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 09:00:00,109,10,25,1613,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-29 15:00:00,1079,16,25,1551,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 08:00:00,963,9,37,2487,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 08:00:00,782,9,37,2306,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 09:00:00,795,10,37,1840,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 14:00:00,492,15,37,1642,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,909,18,36,2579,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 17:00:00,1028,18,36,2331,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 18:00:00,1174,19,36,1376,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-01 18:00:00,673,19,31,1412,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 18:00:00,1196,19,31,1410,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 14:00:00,1098,15,30,2154,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-26 17:00:00,1285,18,30,1976,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 12:00:00,1658,13,30,1899,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 19:00:00,805,20,30,1013,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 15:00:00,1730,16,29,2324,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 14:00:00,1581,15,29,2127,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 15:00:00,1059,16,29,1646,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,982,18,29,1639,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 18:00:00,1020,19,29,1529,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 18:00:00,750,19,29,1441,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-31 08:00:00,1035,9,40,2513,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 19:00:00,667,20,40,1271,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 13:00:00,1136,14,39,1804,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 08:00:00,1008,9,38,1962,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 17:00:00,1326,18,38,1948,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
