ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-25 17:00:00,1261,18,90,578,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-31 17:00:00,1559,18,80,586,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 16:00:00,1506,17,72,603,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 16:00:00,1188,17,68,439,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-27 15:00:00,1034,16,68,387,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 15:00:00,1275,16,65,538,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,983,18,64,351,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-23 19:00:00,706,20,59,192,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 16:00:00,1389,17,58,584,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 17:00:00,975,18,54,321,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 18:00:00,850,19,54,295,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 17:00:00,780,18,54,666,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-26 16:00:00,1321,17,53,606,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 16:00:00,1220,17,53,477,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-31 14:00:00,1274,15,52,521,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 12:00:00,1250,13,51,721,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-28 17:00:00,712,18,51,300,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-03 17:00:00,1293,18,50,507,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-05 18:00:00,936,19,33,267,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-30 15:00:00,910,16,33,458,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-30 09:00:00,859,10,33,658,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 14:00:00,1249,15,32,138,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-26 18:00:00,1199,19,32,345,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 09:00:00,968,10,32,181,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 15:00:00,921,16,32,278,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 17:00:00,848,18,32,423,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-15 19:00:00,738,20,32,427,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 16:00:00,725,17,32,368,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-24 18:00:00,1094,19,28,178,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 15:00:00,1046,16,28,307,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 18:00:00,947,19,28,287,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-12 18:00:00,936,19,28,315,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 11:00:00,714,12,28,214,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-31 18:00:00,696,19,28,282,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-26 11:00:00,1035,12,27,599,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 08:00:00,999,9,27,559,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-16 08:00:00,978,9,27,180,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-24 10:00:00,932,11,27,260,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-02 18:00:00,927,19,27,215,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-16 11:00:00,715,12,27,250,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 13:00:00,1061,14,50,547,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 18:00:00,1006,19,49,329,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 16:00:00,1456,17,48,391,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-23 17:00:00,1339,18,48,571,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 18:00:00,1032,19,48,240,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-26 19:00:00,1027,20,48,204,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 13:00:00,1024,14,48,492,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 16:00:00,954,17,47,294,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-23 14:00:00,915,15,47,379,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 16:00:00,1231,17,45,180,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 19:00:00,905,20,45,26,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 19:00:00,748,20,45,193,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 17:00:00,1190,18,44,312,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-30 17:00:00,1075,18,44,341,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 19:00:00,641,20,44,199,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-09 16:00:00,1235,17,43,149,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-08 16:00:00,1090,17,43,402,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 16:00:00,1067,17,43,311,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-29 14:00:00,1007,15,43,443,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 11:00:00,1263,12,26,111,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 12:00:00,1200,13,26,647,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-04 18:00:00,962,19,26,369,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 13:00:00,930,14,26,115,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-03 11:00:00,812,12,26,258,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-16 13:00:00,790,14,26,559,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-23 20:00:00,594,21,26,181,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 20:00:00,550,21,26,179,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 17:00:00,1175,18,37,248,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
